sep=;
"Version";"4";
"Sprache";"de-DE";
"Lokales Export Datum";"16.04.2025 18:18:09";
"Export Datum UTC";"2025-04-16T16:18:09.289Z";
"Zeitzone";"Europe/Berlin";
"Nutzername";"strub@gmx.de";
"Ebene";"Anlage";
"Id der Anlage";"15227868";
"Name der Anlage";"Strub Thomas Offnadingen";
"";"";
"Zeitraum";"Gesamtertrag [kWh]";"Durchschnittliche Ertragserwartung [kWh]"
"01.02.2025";"26,41";"32,83"
"02.02.2025";"10,67";"32,83"
"03.02.2025";"4,89";"32,83"
"04.02.2025";"32,50";"32,83"
"05.02.2025";"45,87";"32,83"
"06.02.2025";"6,78";"32,83"
"07.02.2025";"29,33";"32,83"
"08.02.2025";"36,24";"32,83"
"09.02.2025";"27,25";"32,83"
"10.02.2025";"8,70";"32,83"
"11.02.2025";"5,51";"32,83"
"12.02.2025";"18,72";"32,83"
"13.02.2025";"22,52";"32,83"
"14.02.2025";"13,51";"32,83"
"15.02.2025";"54,08";"32,83"
"16.02.2025";"26,94";"32,83"
"17.02.2025";"11,77";"32,83"
"18.02.2025";"45,10";"32,83"
"19.02.2025";"49,87";"32,83"
"20.02.2025";"43,43";"32,83"
"21.02.2025";"41,73";"32,83"
"22.02.2025";"21,80";"32,83"
"23.02.2025";"34,11";"32,83"
"24.02.2025";"16,81";"32,83"
"25.02.2025";"19,84";"32,83"
"26.02.2025";"16,15";"32,83"
"27.02.2025";"43,79";"32,83"
"28.02.2025";"19,33";"32,83"
