sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"09.07.2025 13:27:09"
"Export Datum UTC";"2025-07-09T11:27:09.266Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Gesamtertrag [kWh] / Strub Thomas Offnadingen"
"01.01.2025";"26,32"
"02.01.2025";"1,18"
"03.01.2025";"12,73"
"04.01.2025";"29,76"
"05.01.2025";"7,74"
"06.01.2025";"10,76"
"07.01.2025";"11,39"
"08.01.2025";"3,75"
"09.01.2025";"5,08"
"10.01.2025";"22,46"
"11.01.2025";"28,38"
"12.01.2025";"11,25"
"13.01.2025";"39,26"
"14.01.2025";"37,73"
"15.01.2025";"10,09"
"16.01.2025";"27,76"
"17.01.2025";"7,67"
"18.01.2025";"27,61"
"19.01.2025";"6,74"
"20.01.2025";"12,09"
"21.01.2025";"7,13"
"22.01.2025";"7,56"
"23.01.2025";"16,13"
"24.01.2025";"23,28"
"25.01.2025";"25,23"
"26.01.2025";"34,56"
"27.01.2025";"4,63"
"28.01.2025";"18,39"
"29.01.2025";"24,68"
"30.01.2025";"9,38"
"31.01.2025";"15,15"
