sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"16.04.2025 18:25:49"
"Export Datum UTC";"2025-04-16T16:25:49.654Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Leistung [kW]"
"00:15";"0,00"
"00:30";"0,00"
"00:45";"0,00"
"01:00";"0,00"
"01:15";"0,00"
"01:30";"0,00"
"01:45";"0,00"
"02:00";"0,00"
"02:15";"0,00"
"02:30";"0,00"
"02:45";"0,00"
"03:00";"0,00"
"03:15";"0,00"
"03:30";"0,00"
"03:45";"0,00"
"04:00";"0,00"
"04:15";"0,00"
"04:30";"0,00"
"04:45";"0,00"
"05:00";"0,00"
"05:15";"0,00"
"05:30";"0,00"
"05:45";"0,00"
"06:00";"0,00"
"06:15";"0,00"
"06:30";"0,00"
"06:45";"0,00"
"07:00";"0,06"
"07:15";"0,26"
"07:30";"0,38"
"07:45";"0,54"
"08:00";"0,86"
"08:15";"1,22"
"08:30";"1,66"
"08:45";"2,25"
"09:00";"2,99"
"09:15";"3,83"
"09:30";"4,68"
"09:45";"5,54"
"10:00";"6,30"
"10:15";"7,04"
"10:30";"7,67"
"10:45";"8,28"
"11:00";"8,80"
"11:15";"9,28"
"11:30";"9,76"
"11:45";"10,12"
"12:00";"10,48"
"12:15";"10,74"
"12:30";"10,94"
"12:45";"11,04"
"13:00";"11,14"
"13:15";"11,21"
"13:30";"11,19"
"13:45";"11,16"
"14:00";"11,08"
"14:15";"10,85"
"14:30";"10,70"
"14:45";"10,45"
"15:00";"10,14"
"15:15";"9,77"
"15:30";"9,31"
"15:45";"8,85"
"16:00";"8,27"
"16:15";"7,45"
"16:30";"6,56"
"16:45";"5,84"
"17:00";"5,26"
"17:15";"4,48"
"17:30";"3,74"
"17:45";"2,97"
"18:00";"2,21"
"18:15";"1,41"
"18:30";"0,53"
"18:45";"0,02"
"19:00";"0,00"
"19:15";"0,00"
"19:30";"0,00"
"19:45";"0,00"
"20:00";"0,00"
"20:15";"0,00"
"20:30";"0,00"
"20:45";"0,00"
"21:00";"0,00"
"21:15";"0,00"
"21:30";"0,00"
"21:45";"0,00"
"22:00";"0,00"
"22:15";"0,00"
"22:30";"0,00"
"22:45";"0,00"
"23:00";"0,00"
"23:15";"0,00"
"23:30";"0,00"
"23:45";"0,00"
"00:00";"0,00"
