sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"01.01.2026 14:26:27"
"Export Datum UTC";"2026-01-01T13:26:27.294Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Portfolio"
"";""
"Zeitraum";"Gesamtertrag [kWh] / STP 25000TL-30 754"
"01.12.2025";"9,22"
"02.12.2025";"30,69"
"03.12.2025";"17,19"
"04.12.2025";"24,21"
"05.12.2025";"9,22"
"06.12.2025";"7,50"
"07.12.2025";"3,24"
"08.12.2025";"7,03"
"09.12.2025";"29,74"
"10.12.2025";"9,09"
"11.12.2025";"3,38"
"12.12.2025";"19,52"
"13.12.2025";"4,99"
"14.12.2025";"3,20"
"15.12.2025";"27,17"
"16.12.2025";"5,11"
"17.12.2025";"15,13"
"18.12.2025";"26,59"
"19.12.2025";"4,14"
"20.12.2025";"16,17"
"21.12.2025";"5,17"
"22.12.2025";"2,29"
"23.12.2025";"3,00"
"24.12.2025";"1,50"
"25.12.2025";"25,71"
"26.12.2025";"4,42"
"27.12.2025";"17,23"
"28.12.2025";"3,98"
"29.12.2025";"8,17"
"30.12.2025";"26,60"
"31.12.2025";"33,30"
