sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"09.07.2025 13:26:58"
"Export Datum UTC";"2025-07-09T11:26:58.680Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Gesamtertrag [kWh] / Strub Thomas Offnadingen"
"01.03.2025";"57,97"
"02.03.2025";"64,93"
"03.03.2025";"67,12"
"04.03.2025";"66,24"
"05.03.2025";"68,33"
"06.03.2025";"66,38"
"07.03.2025";"64,61"
"08.03.2025";"66,27"
"09.03.2025";"57,54"
"10.03.2025";"17,66"
"11.03.2025";"52,10"
"12.03.2025";"13,63"
"13.03.2025";"40,30"
"14.03.2025";"28,55"
"15.03.2025";"6,56"
"16.03.2025";"14,53"
"17.03.2025";"66,55"
"18.03.2025";"77,81"
"19.03.2025";"77,33"
"20.03.2025";"68,19"
"21.03.2025";"38,32"
"22.03.2025";"49,17"
"23.03.2025";"49,19"
"24.03.2025";"46,81"
"25.03.2025";"51,82"
"26.03.2025";"25,88"
"27.03.2025";"70,36"
"28.03.2025";"80,10"
"29.03.2025";"11,75"
"30.03.2025";"54,46"
"31.03.2025";"68,21"
