sep=;
"Version";"4";
"Sprache";"de-DE";
"Lokales Export Datum";"16.04.2025 18:18:19";
"Export Datum UTC";"2025-04-16T16:18:19.804Z";
"Zeitzone";"Europe/Berlin";
"Nutzername";"strub@gmx.de";
"Ebene";"Anlage";
"Id der Anlage";"15227868";
"Name der Anlage";"Strub Thomas Offnadingen";
"";"";
"Zeitraum";"Gesamtertrag [kWh]";"Durchschnittliche Ertragserwartung [kWh]"
"01.04.2025";"60,08";"52,79"
"02.04.2025";"80,61";"52,79"
"03.04.2025";"79,46";"52,79"
"04.04.2025";"79,92";"52,79"
"05.04.2025";"81,66";"52,79"
"06.04.2025";"87,46";"52,79"
"07.04.2025";"85,76";"52,79"
"08.04.2025";"84,47";"52,79"
"09.04.2025";"80,73";"52,79"
"10.04.2025";"84,37";"52,79"
"11.04.2025";"84,71";"52,79"
"12.04.2025";"64,34";"52,79"
"13.04.2025";"32,53";"52,79"
"14.04.2025";"78,02";"52,79"
"15.04.2025";"46,00";"52,79"
"16.04.2025";"10,99";"52,79"
"17.04.2025";"-";"52,79"
"18.04.2025";"-";"52,79"
"19.04.2025";"-";"52,79"
"20.04.2025";"-";"52,79"
"21.04.2025";"-";"52,79"
"22.04.2025";"-";"52,79"
"23.04.2025";"-";"52,79"
"24.04.2025";"-";"52,79"
"25.04.2025";"-";"52,79"
"26.04.2025";"-";"52,79"
"27.04.2025";"-";"52,79"
"28.04.2025";"-";"52,79"
"29.04.2025";"-";"52,79"
"30.04.2025";"-";"52,79"
