sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"16.04.2025 18:25:52"
"Export Datum UTC";"2025-04-16T16:25:52.830Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Leistung [kW]"
"00:15";"0,00"
"00:30";"0,00"
"00:45";"0,00"
"01:00";"0,00"
"01:15";"0,00"
"01:30";"0,00"
"01:45";"0,00"
"02:00";"0,00"
"02:15";"0,00"
"02:30";"0,00"
"02:45";"0,00"
"03:00";"0,00"
"03:15";"0,00"
"03:30";"0,00"
"03:45";"0,00"
"04:00";"0,00"
"04:15";"0,00"
"04:30";"0,00"
"04:45";"0,00"
"05:00";"0,00"
"05:15";"0,00"
"05:30";"0,00"
"05:45";"0,00"
"06:00";"0,00"
"06:15";"0,00"
"06:30";"0,00"
"06:45";"0,00"
"07:00";"0,00"
"07:15";"0,15"
"07:30";"0,32"
"07:45";"0,49"
"08:00";"0,58"
"08:15";"0,70"
"08:30";"0,85"
"08:45";"1,17"
"09:00";"1,64"
"09:15";"2,10"
"09:30";"2,84"
"09:45";"3,24"
"10:00";"3,75"
"10:15";"3,80"
"10:30";"8,72"
"10:45";"9,31"
"11:00";"9,31"
"11:15";"9,61"
"11:30";"9,52"
"11:45";"9,84"
"12:00";"10,18"
"12:15";"10,06"
"12:30";"10,47"
"12:45";"10,62"
"13:00";"10,67"
"13:15";"10,79"
"13:30";"10,72"
"13:45";"10,60"
"14:00";"10,59"
"14:15";"10,43"
"14:30";"10,18"
"14:45";"9,94"
"15:00";"9,61"
"15:15";"9,23"
"15:30";"8,90"
"15:45";"8,52"
"16:00";"7,95"
"16:15";"6,48"
"16:30";"5,11"
"16:45";"3,53"
"17:00";"2,92"
"17:15";"2,68"
"17:30";"1,97"
"17:45";"1,28"
"18:00";"0,80"
"18:15";"0,45"
"18:30";"0,14"
"18:45";"0,00"
"19:00";"0,00"
"19:15";"0,00"
"19:30";"0,00"
"19:45";"0,00"
"20:00";"0,00"
"20:15";"0,00"
"20:30";"0,00"
"20:45";"0,00"
"21:00";"0,00"
"21:15";"0,00"
"21:30";"0,00"
"21:45";"0,00"
"22:00";"0,00"
"22:15";"0,00"
"22:30";"0,00"
"22:45";"0,00"
"23:00";"0,00"
"23:15";"0,00"
"23:30";"0,00"
"23:45";"0,00"
"00:00";"0,00"
