sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"16.04.2025 18:25:05"
"Export Datum UTC";"2025-04-16T16:25:05.021Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Leistung [kW]"
"00:05";"0,00"
"00:10";"0,00"
"00:15";"0,00"
"00:20";"0,00"
"00:25";"0,00"
"00:30";"0,00"
"00:35";"0,00"
"00:40";"0,00"
"00:45";"0,00"
"00:50";"0,00"
"00:55";"0,00"
"01:00";"0,00"
"01:05";"0,00"
"01:10";"0,00"
"01:15";"0,00"
"01:20";"0,00"
"01:25";"0,00"
"01:30";"0,00"
"01:35";"0,00"
"01:40";"0,00"
"01:45";"0,00"
"01:50";"0,00"
"01:55";"0,00"
"02:00";"0,00"
"02:05";"0,00"
"02:10";"0,00"
"02:15";"0,00"
"02:20";"0,00"
"02:25";"0,00"
"02:30";"0,00"
"02:35";"0,00"
"02:40";"0,00"
"02:45";"0,00"
"02:50";"0,00"
"02:55";"0,00"
"03:00";"0,00"
"03:05";"0,00"
"03:10";"0,00"
"03:15";"0,00"
"03:20";"0,00"
"03:25";"0,00"
"03:30";"0,00"
"03:35";"0,00"
"03:40";"0,00"
"03:45";"0,00"
"03:50";"0,00"
"03:55";"0,00"
"04:00";"0,00"
"04:05";"0,00"
"04:10";"0,00"
"04:15";"0,00"
"04:20";"0,00"
"04:25";"0,00"
"04:30";"0,00"
"04:35";"0,00"
"04:40";"0,00"
"04:45";"0,00"
"04:50";"0,00"
"04:55";"0,00"
"05:00";"0,00"
"05:05";"0,00"
"05:10";"0,00"
"05:15";"0,00"
"05:20";"0,00"
"05:25";"0,00"
"05:30";"0,00"
"05:35";"0,00"
"05:40";"0,00"
"05:45";"0,00"
"05:50";"0,00"
"05:55";"0,00"
"06:00";"0,00"
"06:05";"0,00"
"06:10";"0,00"
"06:15";"0,00"
"06:20";"0,00"
"06:25";"0,00"
"06:30";"0,00"
"06:35";"0,00"
"06:40";"0,00"
"06:45";"0,00"
"06:50";"0,00"
"06:55";"0,00"
"07:00";"0,00"
"07:05";"0,00"
"07:10";"0,07"
"07:15";"0,18"
"07:20";"0,32"
"07:25";"0,36"
"07:30";"0,34"
"07:35";"0,28"
"07:40";"0,31"
"07:45";"0,40"
"07:50";"0,53"
"07:55";"0,68"
"08:00";"0,72"
"08:05";"0,72"
"08:10";"0,78"
"08:15";"1,01"
"08:20";"1,21"
"08:25";"1,37"
"08:30";"1,36"
"08:35";"1,49"
"08:40";"1,56"
"08:45";"1,46"
"08:50";"1,34"
"08:55";"1,13"
"09:00";"1,49"
"09:05";"1,91"
"09:10";"2,04"
"09:15";"2,21"
"09:20";"2,42"
"09:25";"2,62"
"09:30";"2,89"
"09:35";"3,05"
"09:40";"3,41"
"09:45";"3,66"
"09:50";"3,98"
"09:55";"4,26"
"10:00";"4,54"
"10:05";"5,17"
"10:10";"4,73"
"10:15";"4,73"
"10:20";"5,88"
"10:25";"3,95"
"10:30";"3,17"
"10:35";"4,20"
"10:40";"3,70"
"10:45";"3,91"
"10:50";"6,95"
"10:55";"3,85"
"11:00";"5,39"
"11:05";"7,97"
"11:10";"7,40"
"11:15";"2,81"
"11:20";"6,97"
"11:25";"7,38"
"11:30";"6,91"
"11:35";"8,95"
"11:40";"9,14"
"11:45";"8,36"
"11:50";"4,55"
"11:55";"10,51"
"12:00";"10,70"
"12:05";"10,18"
"12:10";"10,49"
"12:15";"10,00"
"12:20";"10,04"
"12:25";"4,54"
"12:30";"4,22"
"12:35";"10,57"
"12:40";"11,12"
"12:45";"11,46"
"12:50";"11,21"
"12:55";"11,38"
"13:00";"11,77"
"13:05";"5,74"
"13:10";"8,62"
"13:15";"11,88"
"13:20";"11,86"
"13:25";"11,48"
"13:30";"11,95"
"13:35";"12,04"
"13:40";"11,82"
"13:45";"11,77"
"13:50";"11,89"
"13:55";"11,87"
"14:00";"12,16"
"14:05";"12,37"
"14:10";"11,96"
"14:15";"3,61"
"14:20";"3,62"
"14:25";"2,69"
"14:30";"10,76"
"14:35";"8,57"
"14:40";"1,98"
"14:45";"7,08"
"14:50";"12,47"
"14:55";"12,38"
"15:00";"11,82"
"15:05";"11,53"
"15:10";"11,69"
"15:15";"11,52"
"15:20";"10,96"
"15:25";"10,80"
"15:30";"10,72"
"15:35";"10,78"
"15:40";"10,66"
"15:45";"10,19"
"15:50";"10,12"
"15:55";"10,52"
"16:00";"10,51"
"16:05";"10,18"
"16:10";"10,19"
"16:15";"10,14"
"16:20";"9,19"
"16:25";"10,32"
"16:30";"10,26"
"16:35";"9,97"
"16:40";"9,68"
"16:45";"9,49"
"16:50";"9,32"
"16:55";"9,08"
"17:00";"8,77"
"17:05";"8,57"
"17:10";"8,45"
"17:15";"8,11"
"17:20";"7,82"
"17:25";"7,69"
"17:30";"7,66"
"17:35";"6,97"
"17:40";"4,26"
"17:45";"6,77"
"17:50";"6,58"
"17:55";"5,90"
"18:00";"5,56"
"18:05";"5,10"
"18:10";"4,84"
"18:15";"4,25"
"18:20";"4,30"
"18:25";"4,24"
"18:30";"3,68"
"18:35";"3,49"
"18:40";"3,70"
"18:45";"2,89"
"18:50";"2,72"
"18:55";"2,10"
"19:00";"1,67"
"19:05";"1,52"
"19:10";"1,55"
"19:15";"1,48"
"19:20";"1,34"
"19:25";"1,14"
"19:30";"0,95"
"19:35";"0,54"
"19:40";"0,32"
"19:45";"0,26"
"19:50";"0,19"
"19:55";"0,11"
"20:00";"0,08"
"20:05";"0,12"
"20:10";"0,01"
"20:15";"0,00"
"20:20";"0,00"
"20:25";"0,00"
"20:30";"0,00"
"20:35";"0,00"
"20:40";"0,00"
"20:45";"0,00"
"20:50";"0,00"
"20:55";"0,00"
"21:00";"0,00"
"21:05";"0,00"
"21:10";"0,00"
"21:15";"0,00"
"21:20";"0,00"
"21:25";"0,00"
"21:30";"0,00"
"21:35";"0,00"
"21:40";"0,00"
"21:45";"0,00"
"21:50";"0,00"
"21:55";"0,00"
"22:00";"0,00"
"22:05";"0,00"
"22:10";"0,00"
"22:15";"0,00"
"22:20";"0,00"
"22:25";"0,00"
"22:30";"0,00"
"22:35";"0,00"
"22:40";"0,00"
"22:45";"0,00"
"22:50";"0,00"
"22:55";"0,00"
"23:00";"0,00"
"23:05";"0,00"
"23:10";"0,00"
"23:15";"0,00"
"23:20";"0,00"
"23:25";"0,00"
"23:30";"0,00"
"23:35";"0,00"
"23:40";"0,00"
"23:45";"0,00"
"23:50";"0,00"
"23:55";"0,00"
"00:00";"0,00"
