sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"05.11.2025 11:45:09"
"Export Datum UTC";"2025-11-05T10:45:09.736Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Leistung [kW] / Strub Thomas Offnadingen"
"24.06.2025 00:15";"0,00"
"24.06.2025 00:30";"0,00"
"24.06.2025 00:45";"0,00"
"24.06.2025 01:00";"0,00"
"24.06.2025 01:15";"0,00"
"24.06.2025 01:30";"0,00"
"24.06.2025 01:45";"0,00"
"24.06.2025 02:00";"0,00"
"24.06.2025 02:15";"0,00"
"24.06.2025 02:30";"0,00"
"24.06.2025 02:45";"0,00"
"24.06.2025 03:00";"0,00"
"24.06.2025 03:15";"0,00"
"24.06.2025 03:30";"0,00"
"24.06.2025 03:45";"0,00"
"24.06.2025 04:00";"0,00"
"24.06.2025 04:15";"0,00"
"24.06.2025 04:30";"0,00"
"24.06.2025 04:45";"0,00"
"24.06.2025 05:00";"0,00"
"24.06.2025 05:15";"0,00"
"24.06.2025 05:30";"0,00"
"24.06.2025 05:45";"0,00"
"24.06.2025 06:00";"0,02"
"24.06.2025 06:15";"0,22"
"24.06.2025 06:30";"0,39"
"24.06.2025 06:45";"0,55"
"24.06.2025 07:00";"0,69"
"24.06.2025 07:15";"0,84"
"24.06.2025 07:30";"1,01"
"24.06.2025 07:45";"1,18"
"24.06.2025 08:00";"1,35"
"24.06.2025 08:15";"1,54"
"24.06.2025 08:30";"1,74"
"24.06.2025 08:45";"1,97"
"24.06.2025 09:00";"2,34"
"24.06.2025 09:15";"2,92"
"24.06.2025 09:30";"3,61"
"24.06.2025 09:45";"4,33"
"24.06.2025 10:00";"5,06"
"24.06.2025 10:15";"5,81"
"24.06.2025 10:30";"6,67"
"24.06.2025 10:45";"6,88"
"24.06.2025 11:00";"7,88"
"24.06.2025 11:15";"8,40"
"24.06.2025 11:30";"7,59"
"24.06.2025 11:45";"9,24"
"24.06.2025 12:00";"9,99"
"24.06.2025 12:15";"10,31"
"24.06.2025 12:30";"10,72"
"24.06.2025 12:45";"11,01"
"24.06.2025 13:00";"11,30"
"24.06.2025 13:15";"11,53"
"24.06.2025 13:30";"11,64"
"24.06.2025 13:45";"11,85"
"24.06.2025 14:00";"11,94"
"24.06.2025 14:15";"11,97"
"24.06.2025 14:30";"11,94"
"24.06.2025 14:45";"11,91"
"24.06.2025 15:00";"11,81"
"24.06.2025 15:15";"11,72"
"24.06.2025 15:30";"11,58"
"24.06.2025 15:45";"11,33"
"24.06.2025 16:00";"10,96"
"24.06.2025 16:15";"10,70"
"24.06.2025 16:30";"10,40"
"24.06.2025 16:45";"10,03"
"24.06.2025 17:00";"9,54"
"24.06.2025 17:15";"9,03"
"24.06.2025 17:30";"8,46"
"24.06.2025 17:45";"7,90"
"24.06.2025 18:00";"7,12"
"24.06.2025 18:15";"6,40"
"24.06.2025 18:30";"5,64"
"24.06.2025 18:45";"4,69"
"24.06.2025 19:00";"3,99"
"24.06.2025 19:15";"3,29"
"24.06.2025 19:30";"2,48"
"24.06.2025 19:45";"1,95"
"24.06.2025 20:00";"1,44"
"24.06.2025 20:15";"0,89"
"24.06.2025 20:30";"0,31"
"24.06.2025 20:45";"0,29"
"24.06.2025 21:00";"0,26"
"24.06.2025 21:15";"0,16"
"24.06.2025 21:30";"0,04"
"24.06.2025 21:45";"0,00"
"24.06.2025 22:00";"0,00"
"24.06.2025 22:15";"0,00"
"24.06.2025 22:30";"0,00"
"24.06.2025 22:45";"0,00"
"24.06.2025 23:00";"0,00"
"24.06.2025 23:15";"0,00"
"24.06.2025 23:30";"0,00"
"24.06.2025 23:45";"0,00"
"25.06.2025 00:00";"0,00"
"25.06.2025 00:15";"0,00"
"25.06.2025 00:30";"0,00"
"25.06.2025 00:45";"0,00"
"25.06.2025 01:00";"0,00"
"25.06.2025 01:15";"0,00"
"25.06.2025 01:30";"0,00"
"25.06.2025 01:45";"0,00"
"25.06.2025 02:00";"0,00"
"25.06.2025 02:15";"0,00"
"25.06.2025 02:30";"0,00"
"25.06.2025 02:45";"0,00"
"25.06.2025 03:00";"0,00"
"25.06.2025 03:15";"0,00"
"25.06.2025 03:30";"0,00"
"25.06.2025 03:45";"0,00"
"25.06.2025 04:00";"0,00"
"25.06.2025 04:15";"0,00"
"25.06.2025 04:30";"0,00"
"25.06.2025 04:45";"0,00"
"25.06.2025 05:00";"0,00"
"25.06.2025 05:15";"0,00"
"25.06.2025 05:30";"0,00"
"25.06.2025 05:45";"0,00"
"25.06.2025 06:00";"0,06"
"25.06.2025 06:15";"0,28"
"25.06.2025 06:30";"0,51"
"25.06.2025 06:45";"0,64"
"25.06.2025 07:00";"0,74"
"25.06.2025 07:15";"0,85"
"25.06.2025 07:30";"1,04"
"25.06.2025 07:45";"1,24"
"25.06.2025 08:00";"1,42"
"25.06.2025 08:15";"1,61"
"25.06.2025 08:30";"1,85"
"25.06.2025 08:45";"2,06"
"25.06.2025 09:00";"2,38"
"25.06.2025 09:15";"2,94"
"25.06.2025 09:30";"3,62"
"25.06.2025 09:45";"4,20"
"25.06.2025 10:00";"4,97"
"25.06.2025 10:15";"5,52"
"25.06.2025 10:30";"6,16"
"25.06.2025 10:45";"6,85"
"25.06.2025 11:00";"7,48"
"25.06.2025 11:15";"8,04"
"25.06.2025 11:30";"8,61"
"25.06.2025 11:45";"9,08"
"25.06.2025 12:00";"9,51"
"25.06.2025 12:15";"9,92"
"25.06.2025 12:30";"10,26"
"25.06.2025 12:45";"10,57"
"25.06.2025 13:00";"10,60"
"25.06.2025 13:15";"11,00"
"25.06.2025 13:30";"11,08"
"25.06.2025 13:45";"11,14"
"25.06.2025 14:00";"11,31"
"25.06.2025 14:15";"11,27"
"25.06.2025 14:30";"10,96"
"25.06.2025 14:45";"10,33"
"25.06.2025 15:00";"11,02"
"25.06.2025 15:15";"10,84"
"25.06.2025 15:30";"10,67"
"25.06.2025 15:45";"10,44"
"25.06.2025 16:00";"10,18"
"25.06.2025 16:15";"9,91"
"25.06.2025 16:30";"9,57"
"25.06.2025 16:45";"9,21"
"25.06.2025 17:00";"8,78"
"25.06.2025 17:15";"8,29"
"25.06.2025 17:30";"7,82"
"25.06.2025 17:45";"7,10"
"25.06.2025 18:00";"6,82"
"25.06.2025 18:15";"5,92"
"25.06.2025 18:30";"5,25"
"25.06.2025 18:45";"4,32"
"25.06.2025 19:00";"3,59"
"25.06.2025 19:15";"2,92"
"25.06.2025 19:30";"2,25"
"25.06.2025 19:45";"1,78"
"25.06.2025 20:00";"1,36"
"25.06.2025 20:15";"1,00"
"25.06.2025 20:30";"0,67"
"25.06.2025 20:45";"0,40"
"25.06.2025 21:00";"0,14"
"25.06.2025 21:15";"0,04"
"25.06.2025 21:30";"0,00"
"25.06.2025 21:45";"0,00"
"25.06.2025 22:00";"0,00"
"25.06.2025 22:15";"0,00"
"25.06.2025 22:30";"0,00"
"25.06.2025 22:45";"0,00"
"25.06.2025 23:00";"0,00"
"25.06.2025 23:15";"0,00"
