sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"09.07.2025 13:26:45"
"Export Datum UTC";"2025-07-09T11:26:45.412Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Gesamtertrag [kWh] / Strub Thomas Offnadingen"
"01.05.2025";"86,71"
"02.05.2025";"82,58"
"03.05.2025";"61,94"
"04.05.2025";"15,70"
"05.05.2025";"31,34"
"06.05.2025";"23,15"
"07.05.2025";"45,59"
"08.05.2025";"36,95"
"09.05.2025";"68,87"
"10.05.2025";"91,43"
"11.05.2025";"90,94"
"12.05.2025";"50,46"
"13.05.2025";"74,25"
"14.05.2025";"92,39"
"15.05.2025";"91,60"
"16.05.2025";"93,68"
"17.05.2025";"74,85"
"18.05.2025";"78,77"
"19.05.2025";"86,37"
"20.05.2025";"75,90"
"21.05.2025";"48,18"
"22.05.2025";"42,80"
"23.05.2025";"74,27"
"24.05.2025";"74,31"
"25.05.2025";"42,73"
"26.05.2025";"53,45"
"27.05.2025";"67,88"
"28.05.2025";"19,19"
"29.05.2025";"87,71"
"30.05.2025";"94,05"
"31.05.2025";"84,20"
