sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"01.01.2026 14:26:19"
"Export Datum UTC";"2026-01-01T13:26:19.537Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Portfolio"
"";""
"Zeitraum";"Gesamtertrag [kWh] / STP 25000TL-30 754"
"01.11.2025";"13,35"
"02.11.2025";"6,78"
"03.11.2025";"46,41"
"04.11.2025";"44,73"
"05.11.2025";"42,94"
"06.11.2025";"33,52"
"07.11.2025";"8,13"
"08.11.2025";"7,61"
"09.11.2025";"14,67"
"10.11.2025";"12,22"
"11.11.2025";"35,53"
"12.11.2025";"31,98"
"13.11.2025";"32,25"
"14.11.2025";"13,05"
"15.11.2025";"18,04"
"16.11.2025";"4,06"
"17.11.2025";"13,54"
"18.11.2025";"23,74"
"19.11.2025";"33,19"
"20.11.2025";"22,62"
"21.11.2025";"11,62"
"22.11.2025";"9,58"
"23.11.2025";"11,87"
"24.11.2025";"3,30"
"25.11.2025";"6,46"
"26.11.2025";"3,18"
"27.11.2025";"8,44"
"28.11.2025";"16,97"
"29.11.2025";"15,91"
"30.11.2025";"6,44"
