sep=;
"Version";"4";
"Sprache";"de-DE";
"Lokales Export Datum";"16.04.2025 18:18:16";
"Export Datum UTC";"2025-04-16T16:18:16.692Z";
"Zeitzone";"Europe/Berlin";
"Nutzername";"strub@gmx.de";
"Ebene";"Anlage";
"Id der Anlage";"15227868";
"Name der Anlage";"Strub Thomas Offnadingen";
"";"";
"Zeitraum";"Gesamtertrag [kWh]";"Durchschnittliche Ertragserwartung [kWh]"
"01.03.2025";"57,97";"44,43"
"02.03.2025";"64,93";"44,43"
"03.03.2025";"67,12";"44,43"
"04.03.2025";"66,24";"44,43"
"05.03.2025";"68,33";"44,43"
"06.03.2025";"66,38";"44,43"
"07.03.2025";"64,61";"44,43"
"08.03.2025";"66,27";"44,43"
"09.03.2025";"57,54";"44,43"
"10.03.2025";"17,66";"44,43"
"11.03.2025";"52,10";"44,43"
"12.03.2025";"13,63";"44,43"
"13.03.2025";"40,30";"44,43"
"14.03.2025";"28,55";"44,43"
"15.03.2025";"6,56";"44,43"
"16.03.2025";"14,53";"44,43"
"17.03.2025";"66,55";"44,43"
"18.03.2025";"77,81";"44,43"
"19.03.2025";"77,33";"44,43"
"20.03.2025";"68,19";"44,43"
"21.03.2025";"38,32";"44,43"
"22.03.2025";"49,17";"44,43"
"23.03.2025";"49,19";"44,43"
"24.03.2025";"46,81";"44,43"
"25.03.2025";"51,82";"44,43"
"26.03.2025";"25,88";"44,43"
"27.03.2025";"70,36";"44,43"
"28.03.2025";"80,10";"44,43"
"29.03.2025";"11,75";"44,43"
"30.03.2025";"54,46";"44,43"
"31.03.2025";"68,21";"44,43"
