sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"06.11.2025 09:57:59"
"Export Datum UTC";"2025-11-06T08:57:59.650Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Gesamtertrag [kWh] / Strub Thomas Offnadingen"
"01.10.2025";"33,82"
"02.10.2025";"59,48"
"03.10.2025";"23,63"
"04.10.2025";"16,80"
"05.10.2025";"37,41"
"06.10.2025";"30,29"
"07.10.2025";"49,68"
"08.10.2025";"45,93"
"09.10.2025";"17,98"
"10.10.2025";"38,85"
"11.10.2025";"49,47"
"12.10.2025";"48,47"
"13.10.2025";"33,74"
"14.10.2025";"42,95"
"15.10.2025";"50,02"
"16.10.2025";"23,18"
"17.10.2025";"36,94"
"18.10.2025";"57,68"
"19.10.2025";"27,52"
"20.10.2025";"13,94"
"21.10.2025";"21,74"
"22.10.2025";"15,11"
"23.10.2025";"22,77"
"24.10.2025";"32,62"
"25.10.2025";"14,91"
"26.10.2025";"25,11"
"27.10.2025";"6,77"
"28.10.2025";"36,49"
"29.10.2025";"38,80"
"30.10.2025";"40,35"
"31.10.2025";"23,21"
